mlprof -show-line true -raw true main mlmon.out
22.58 seconds of CPU time (6.08 seconds GC)
                                            function                                               cur    raw  
IdxVisitorFn.default_idx_visitor_vtable.visit_UnOpI.fn  idx-visitor.sml: 309                       0.0% (0.01s)
Util.concatMap  util.sml: 316                                                                      0.0% (0.01s)
RedundantExhaust.find_hab.loop  redundant-exhaust.sml: 177                                         0.0% (0.01s)
TypecheckUtil.lookup_kindext  typecheck-util.sml: 267                                              0.0% (0.01s)
RedundantExhaust.find_hab  redundant-exhaust.sml: 103                                              0.0% (0.01s)
ExprFn.is_AppV  expr.sml: 371                                                                      0.0% (0.01s)
DoTypeCheck.match_ptrn  do-typecheck.sml: 784                                                      0.0% (0.01s)
Util.findWithIdx.loop  util.sml: 103                                                               0.0% (0.01s)
ExprFn.eq_option  expr.sml: 420                                                                    0.0% (0.01s)
ParaSubst.apply_depth  parallel-subst.sml: 9                                                       0.0% (0.01s)
OS_Path.fromString  $(SML_LIB)/basis/system/path.sml: 77                                           0.0% (0.01s)
RedundantExhaust.cover_neg  redundant-exhaust.sml: 60                                              0.0% (0.01s)
ExprFn.get_region_long_id  expr.sml: 1191                                                          0.0% (0.01s)
Unify.unify_bs  unify.sml: 32                                                                      0.0% (0.01s)
DoTypeCheck.check_bsort  do-typecheck.sml: 343                                                     0.0% (0.01s)
DoTypeCheck.get_higher_kind.main  do-typecheck.sml: 484                                            0.0% (0.01s)
DoTypeCheck.check_kind_Type  do-typecheck.sml: 609                                                 0.0% (0.01s)
IdxUtilFn.%+  idx.sml: 210                                                                         0.0% (0.01s)
ExprFn.Simp.simp_bind  expr.sml: 2324                                                              0.0% (0.01s)
TrivialSolver.solve  trivial-solver.sml: 7                                                         0.0% (0.01s)
IdxShiftFn.forget_i_i  idx.sml: 169                                                                0.0% (0.01s)
BigOSolver.by_master_theorem.simp_i_max.loop.def  bigO-solver.sml: 274                             0.0% (0.01s)
ParaSubst.f  parallel-subst.sml: 20                                                                0.0% (0.01s)
TypecheckUtil.do_fetch_kindext  typecheck-util.sml: 359                                            0.0% (0.01s)
PosixIO.isReg  $(SML_LIB)/basis/posix/io.sml: 185                                                  0.0% (0.01s)
wangpeng@wangpeng-XPS-8500-ssd:~/timl$ 
