mlprof -show-line true -raw true main mlmon.out
23.58 seconds of CPU time (6.48 seconds GC)
                                            function                                               cur    raw  
ExprFn.collect_BinOpI_left  expr.sml: 242                                                          0.0% (0.01s)
IdxVisitorFn.default_idx_visitor_vtable.visit_UnOpI.fn  idx-visitor.sml: 309                       0.0% (0.01s)
ExprFn.Subst.subst_i_idx_visitor_vtable.visit_VarI  expr.sml: 1490                                 0.0% (0.01s)
Normalize.normalize_s  normalize.sml: 290                                                          0.0% (0.01s)
BinarySetFn.add  $(SML_LIB)/smlnj-lib/Util/binary-set-fn.sml: 144                                  0.0% (0.01s)
ExprFn.CollectMod.on_long_id  expr.sml: 2483                                                       0.0% (0.01s)
List.concat  $(SML_LIB)/basis/list/list.sml: 62                                                    0.0% (0.01s)
ImperativeIOExtra.inputN  $(SML_LIB)/basis/io/imperative-io.fun: 349                               0.0% (0.01s)
TiMLLexFun.makeLexer.lex.continue.scan.action  parser/timl.lex.sml: 470                            0.0% (0.01s)
TiMLLexFun.UserDeclarations.find  parser/timl.lex: 81                                              0.0% (0.01s)
Sequence.Slice.sequence  $(SML_LIB)/basis/arrays-and-vectors/sequence.fun: 418                     0.0% (0.01s)
OS_Path.fromString  $(SML_LIB)/basis/system/path.sml: 77                                           0.0% (0.01s)
ExprFn.VC.simp_vc  expr.sml: 2437                                                                  0.0% (0.01s)
TypeVisitorFn.default_type_visitor_vtable.visit_constr_core.fn  type-visitor.sml: 385              0.0% (0.01s)
TypeVisitorFn.default_type_visitor_vtable.visit_MtVar.fn  type-visitor.sml: 309                    0.0% (0.01s)
ExprFn.Simp.until_unchanged.loop  expr.sml: 2269                                                   0.0% (0.01s)
ExprFn.eq_mt  expr.sml: 507                                                                        0.0% (0.01s)
ParaSubst.apply_depth  parallel-subst.sml: 9                                                       0.0% (0.01s)
TypeVisitorFn.default_type_visitor_vtable.visit_Arrow  type-visitor.sml: 234                       0.0% (0.01s)
DoTypeCheck.check_mtype  do-typecheck.sml: 1934                                                    0.0% (0.01s)
DoTypeCheck.check_sort  do-typecheck.sml: 361                                                      0.0% (0.01s)
FreshUVar.get_ctx_and_args  fresh-uvar.sml: 68                                                     0.0% (0.01s)
FreshUVar.get_ctx_and_args.on_sgn  fresh-uvar.sml: 71                                              0.0% (0.01s)
FreshUVar.get_ctx_and_args.fn  fresh-uvar.sml: 84                                                  0.0% (0.01s)
DoTypeCheck.get_bsort  do-typecheck.sml: 197                                                       0.0% (0.01s)
ExprFn.get_region_mt  expr.sml: 1242                                                               0.0% (0.01s)
DoTypeCheck.get_mtype  do-typecheck.sml: 1167                                                      0.0% (0.01s)
TypecheckUtil.ctx_from_typing  typecheck-util.sml: 221                                             0.0% (0.01s)
DoTypeCheck.expand_rules.expand_rule  do-typecheck.sml: 922                                        0.0% (0.01s)
DoTypeCheck.check_rules  do-typecheck.sml: 1866                                                    0.0% (0.01s)
TypeVisitorFn.default_type_visitor_vtable.visit_ty  type-visitor.sml: 357                          0.0% (0.01s)
TypeVisitorFn.default_type_visitor_vtable.visit_Uni  type-visitor.sml: 372                         0.0% (0.01s)
ExprFn.Simp.simp_bind  expr.sml: 2324                                                              0.0% (0.01s)
LongIdMap.compare_pair  long-id-map.sml: 18                                                        0.0% (0.01s)
Util.firstSuccess.fn  util.sml: 392                                                                0.0% (0.01s)
Unify.unify_IApp.IAbsMany.fn  unify.sml: 108                                                       0.0% (0.01s)
CollectUVar.collect_uvar_i_i  collect-uvar.sml: 10                                                 0.0% (0.01s)
Normalize.normalize_hyp  normalize.sml: 481                                                        0.0% (0.01s)
TypecheckUtil.do_fetch_kindext  typecheck-util.sml: 359                                            0.0% (0.01s)
NamespacesFn.tdepth_inc  unbound.sml: 98                                                           0.0% (0.01s)
ExprFn.Subst.substx_long_id.fn  expr.sml: 1451                                                     0.0% (0.01s)
Normalize.normalize_sgntr_list  normalize.sml: 469                                                 0.0% (0.01s)
wangpeng@wangpeng-XPS-8500-ssd:~/timl$ 
